ID;Nombre_Establecimiento;Población_Objetivo;Tipo_de_establecimiento;Gestión;Domicilio;Localidad;Departamento;Provincia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
53;Jardin Cuenta Cuentos;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Gualeguaychu 3502 Villa Devoto;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
54;Escuela Parroquial La Piedad;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Parana 56 San Nicolas;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
55;Instituto Nuestra Señora De Lujan;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Jujuy 2179 Parque Patricios;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
56;Jic Nº 02 Jardin Del Angel Gris De 12;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Avellaneda 2555 Flores;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
57;Colegio Numen;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Yerbal 1871 Flores;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
58;Jin B De 08 (Esc. Prim. Nº 06 De 08);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. San Juan 4396 Boedo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
59;Jin B De 08 (Esc. Prim. N° 08 De 08);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Jose Maria Moreno 480 Caballito;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
60;Instituto Platerillo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Terrada 3080 Villa Del Parque;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
61;Escuela Infantil N° 04 Agustin Tatin Ravello De 08;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Victor Martinez 1780 Parque Chacabuco;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
62;Escuela Religiosa Israelita Argentina;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ecuador 928 Balvanera;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
63;Jin D De 12 (Esc. Prim. Nº 03 De 12);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Bacacay 3732 Floresta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
64;Jin D De 12 (Esc. Prim. Nº 09 De 12);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Bacacay 3542 Floresta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
65;Jin D De 12 (Esc. Prim. Nº 24 De 12);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Moron 3745 Floresta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
66;Instituto La Candelaria;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Dr. Juan F. Aranguren 4015 Floresta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
67;Jin A De 13 (Esc. Prim. N° 14 De 13);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;San Pedro 5845 Mataderos;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
68;Jin A De 13 (Esc. Prim. N° 19 De 13);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Albariño 2062 Mataderos;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
69;Jin A De 13 (Esc. Prim. N° 12 De 13);Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Larraya 2055 Mataderos;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
70;Jii N° 06 De 09;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Santa Fe 5039 Palermo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
71;Colegio San Francisco Javier;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Juncal 2659 Recoleta;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
72;Colegio Eyelen;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Helguera 40 Flores;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
73;Instituto Schiller;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Pedro Lozano 3064 Villa Del Parque;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
74;Colegio Nuevo Pensar;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Nogoya 2620 Villa Del Parque;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
75;Colegio Del Arce;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Jorge Newbery 1953 Palermo;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
76;Escuela Argentina;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Giribone 863 Chacarita 867;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
77;Instituto Sir Thomas Malory;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avda. Congreso 4931 Villa Urquiza;CIUDAD DE BUENOS AIRES;Ciudad Autónoma de Buenos Aires;CABA;;;;;;;;;;;;;;;;
