ID;Nombre_Establecimiento;Población_Objetivo;Tipo_de_establecimiento;Gestión;Domicilio;Localidad;Departamento;Provincia; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
11993;Nucleo Ii - Jardin De Infantes Nucleado Nro 29;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Chapino;CAMPO CHAPINO;General Lopez;Santa Fe;;;;;;;;;;;;;;;;
11994;Nucleo Iv - Jardin De Infantes Nucleado Nro 29;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo La Chingola;CAMPO LA CHINGOLA;General Lopez;Santa Fe;;;;;;;;;;;;;;;;
11995;Nucleo V - Jardin De Infantes Nucleado Nro 29;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Las Encadenadas;CAMPO LAS ENCADENADAS;General López;Santa Fe;;;;;;;;;;;;;;;;
11996;Nucleo Vi - Jardin De Infantes Nucleado Nro 29;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Troffé;CAMPO TROFFE;General Lopez;Santa Fe;;;;;;;;;;;;;;;;
11997;Escuela Nro 6217 Fragata Libertad;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Dardatti - Galisteo;CAMPO DARDATTI;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
11998;Escuela Nro 104 Fray Justo Santa Maria De Oro;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Las Yerbas;COLONIA LAS YERBAS;San Martin;Santa Fe;;;;;;;;;;;;;;;;
11999;Escuela Nro 689 Aaron Castellanos;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Larrechea;COLONIA LARRECHEA;Las Colonias;Santa Fe;;;;;;;;;;;;;;;;
12000;C.E.R. Nro 625;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Alvaro Iztueta;COLONIA ALVARO IZTUETA;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12001;C.E.R. Nro 627;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Alcorta;COLONIA ALCORTA;Constitucion;Santa Fe;;;;;;;;;;;;;;;;
12002;C.E.R. Nro 349 Albert Schweitzer;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Las Margaritas;COLONIA LAS MARGARITAS;Vera;Santa Fe;;;;;;;;;;;;;;;;
12003;C.E.R. Nro 601;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Colnaghi Campo Colnaghi;CAMPO COLNAGHI;Vera;Santa Fe;;;;;;;;;;;;;;;;
12004;C.E.R. Nro 616;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural - Campo Burkett;CAMPO BURKETT;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12005;Nucleo Ii - Jardin De Infantes Nucleado Nro 123 Edgardo Blas Longo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Los Troncos;COLONIA LOS TRONCOS;Belgrano;Santa Fe;;;;;;;;;;;;;;;;
12006;Escuela Nro 920 Granadero Juan Bautista Baigorria;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Nro 23 Km 11.82 S/N Campo Theiller-Funciona En Escuela Nro 920;CAMPO THEILER;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12007;Escuela Nro 1037 Profesor Juan Mantovani;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Minetti;CAMPO MINETTI;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12008;C.E.R. Nro 341 General Jose De San Martin;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural - Campo Caffaro;CAMPO CAFFARO;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12009;C.E.R. Nro 626;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Meshler;CAMPO MESHLER;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12010;Escuela Nro 6327 Jose Hernandez;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Mallmann;COLONIA MALLMANN;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12011;Escuela Nro 6007 Gabriela Mistral;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural- Cpo Nari 22Km. Hacia El Oeste De La Ruta N°23 Entre Suardi Y S.Guill.;CAMPO NARI;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12012;C.E.R. Nro 640;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Marengo-Colonia Monte Oscuridad;CAMPO MARENGO;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12013;C.E.R. Nro 91;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia La Osca;COLONIA LA OSCA;San Justo;Santa Fe;;;;;;;;;;;;;;;;
12014;Nucleo I - Jardin De Infantes Nucleado Nro 135 Oro Blanco;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural - Campo Barbero;CAMPO BARBERO;Iriondo;Santa Fe;;;;;;;;;;;;;;;;
12015;Nucleo Ii - Jardin De Infantes Nucleado Nro 135 Oro Blanco;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial Nro 27 S;CAMPO RASETTO;Iriondo;Santa Fe;;;;;;;;;;;;;;;;
12016;Nucleo Iv - Jardin De Infantes Nucleado Nro 135 Oro Blanco;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Camino Provincial 28 S Campo El Ensayo - Ex Escuela Nº973;CAMPO EL ENSAYO;Iriondo;Santa Fe;;;;;;;;;;;;;;;;
12017;Nucleo Vii - Jardin De Infantes Nucleado Nro 135 Oro Blanco;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Alfonso Cicarelli Campo Rovetto;CAMPO ROVETTO;Iriondo;Santa Fe;;;;;;;;;;;;;;;;
12018;C.E.R. Nro 281 Domingo Faustino Sarmiento;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Los Prados;COLONIA LOS PRADOS;Caseros;Santa Fe;;;;;;;;;;;;;;;;
12019;Escuela Nro 555 General Jose De San Martin;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural Colonia La Clara;COLONIA LA CLARA;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12020;Nucleo Ii - Jardin De Infantes Nucleado Nro 144 Merceditas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo El 51;CAMPO EL 51;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12021;C.E.R. Nro 320 Patricias Mendocinas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Foressi;CAMPO FORESSI;Caseros;Santa Fe;;;;;;;;;;;;;;;;
12022;Escuela Nro 439 Miguel Cane;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;La Rinconada;LA RINCONADA;San Justo;Santa Fe;;;;;;;;;;;;;;;;
12023;Escuela Nro 715 General Jose De San Martin;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial Nro 93 S Zona Rural-Colonia La Blanca;COLONIA LA BLANCA;San Justo;Santa Fe;;;;;;;;;;;;;;;;
12024;C.E.R. Nro 372 Bernardino Rivadavia;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo La Victoria;CAMPO LA VICTORIA;Constitucion;Santa Fe;;;;;;;;;;;;;;;;
12025;C.E.R. Nro 271 Republica Argentina;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Bajo Las Tunas;BAJO LAS TUNAS;Las Colonias;Santa Fe;;;;;;;;;;;;;;;;
12026;C.E.R. Nro 580;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Periotti;CAMPO PERIOTTI;Las Colonias;Santa Fe;;;;;;;;;;;;;;;;
12027;Escuela Part. Inc. Nro 1304 Paz;Infancias;Jardines Maternales y de Infantes;;Pan Y Trabajo;SAN JERONIMO SUD;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12028;Escuela Nro 869 Julio Argentino Roca;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial Nro 1 Km 4 Colastine Norte;COLASTINE NORTE L.G.;La Capital;Santa Fe;;;;;;;;;;;;;;;;
12029;Nucleo Iv - Jardin De Infantes Nucleado Nro 69 Simon Bolivar;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Estancia Santa Juana;ESTANCIA SANTA JUANA;General Lopez;Santa Fe;;;;;;;;;;;;;;;;
12030;Escuela Nro 433 Domingo Faustino Sarmiento;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Indigena;COLONIA INDIGENA;San Javier;Santa Fe;;;;;;;;;;;;;;;;
12031;Nucleo Ii - Jardin De Infantes Nucleado Nro 111 Trigales;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Nueva Colonia Las Estacas-Ruta Nº 445;NUEVA COLONIA LAS ESTACAS;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12032;Nucleo Ii - Jardin De Infantes Nucleado Nro 168 Antonio Berni;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural Campo Gaitan;CAMPO GAITAN;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12033;Nucleo Iii - Jardin De Infantes Nucleado Nro 168 Antonio Berni;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia San Eduardo-Campo Pons;CAMPO PONS;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12034;C.E.R. Nro 354 Bartolome Mitre;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta 42 S Colonia Santa Irene;COLONIA SANTA IRENE;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12035;C.E.R. Nro 638;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta 40 S Campo Genero Ex Primaria Nro 817;CAMPO GENERO;San Jeronimo;Santa Fe;;;;;;;;;;;;;;;;
12036;Nucleo I - Jardin De Infantes Nucleado Nro 136;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Ledesma;CAMPO LEDESMA;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12037;Escuela Nro 944 Francisco Narciso Laprida;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia La Rinconada;COLONIA LA RINCONADA;Las Colonias;Santa Fe;;;;;;;;;;;;;;;;
12038;C.E.R. Nro 234 Fray Justo Santa Maria De Oro;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Rivarossa;CAMPO RIVAROSSA;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12039;Escuela Nro 6006 Nicolas Avellaneda;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial Nro 1 Km 165 Funciona En Escuela Nro 6006;COLONIA CALIFORNIA;San Javier;Santa Fe;;;;;;;;;;;;;;;;
12040;Escuela Nro 1214 Granaderos De San Lorenzo;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Nacional Nro 11 Km428 Colonia Corondina;COLONIA CORONDINA;San Jeronimo;Santa Fe;;;;;;;;;;;;;;;;
12041;Escuela Nro 790 Pablo Pizzurno;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Basualdo Colonia Corondina Sur;COLONIA CORONDINA;San Jeronimo;Santa Fe;;;;;;;;;;;;;;;;
12042;Escuela Nro 6312 Juan Xxiii;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial Nro 1 Km 130;COLONIA SAN JOAQUIN;Garay;Santa Fe;;;;;;;;;;;;;;;;
12043;Escuela Nro 1021 Tomas Godoy Cruz;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Helvecia Oeste;COLONIA HELVECIA OESTE;Garay;Santa Fe;;;;;;;;;;;;;;;;
12044;Escuela Nro 6103 Bartolome Mitre;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial Nro 1 Campo Del Medio;CAMPO DEL MEDIO;Garay;Santa Fe;;;;;;;;;;;;;;;;
12045;Escuela Nro 6413 Siete Jefes;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Del Medio;CAMPO DEL MEDIO;Garay;Santa Fe;;;;;;;;;;;;;;;;
12046;Escuela Nro 6367 2 De Abril;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial Nro 1 Km 63 Paraje Los Cerrillos;LOS CERRILLOS;Garay;Santa Fe;;;;;;;;;;;;;;;;
12047;Escuela Nro 812 Libertador General Jose De San Martin;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo La Adelaida;CAMPO LA ADELAIDA;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12048;Escuela Nro 813 Libertador General Jose De San Martin;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Busso;CAMPO BUSSO;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12049;Escuela Nro 6257 Santiago Derqui;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Los Arrayanes S/N Paraje La Boca;LA BOCA;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12050;Nucleo Ii - Jardin De Infantes Nucleado Nro 178 Estrella Del Sur;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Torriglia;CAMPO TORRIGLIA;Iriondo;Santa Fe;;;;;;;;;;;;;;;;
12051;Nucleo I - Jardin De Infantes Nucleado Nro 122 20 De Junio;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Nro 64 Km 465;ESTACION KILOMETRO 465;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12052;Nucleo Ii - Jardin De Infantes Nucleado Nro 122 20 De Junio;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Seveso;CAMPO SEVESO;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12053;Nucleo I - Jardin De Infantes Nucleado Nro 128;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Maua -Camino Comunal 5;COLONIA MAHUA;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12054;Escuela Nro 962 Domingo Faustino Sarmiento;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial Nro 69 S;TRES COLONIAS MAHUA;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12055;Escuela Part. Inc. Nro 1141 Santa Marta;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Avenida Libertad 274;COLONIA ALDAO;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12056;Escuela Nro 381 Joaquin V. Gonzalez;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Estanislao Lopez 122;EUSEBIA;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12057;Escuela Nro 1096 Domingo Faustino Sarmiento;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraje Los Trebolares;LOS TREBOLARES;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12058;C.E.R. Nro 157 Ricardo Foster;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraje El Simbol;EL SIMBOL;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12059;C.E.R. Nro 277 Edmundo De Amicis;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;El Tigre;EL TIGRE;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12060;C.E.R. Nro 609;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraje Las Avispas Negras;MONTE LAS AVISPAS NEGRAS;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12061;C.E.R. Nro 238 Martin Miguel De Guemes;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo El Mataco;CAMPO EL MATACO;San Cristobal;Santa Fe;;;;;;;;;;;;;;;;
12062;Escuela Nro 950 Tomas Godoy Cruz;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural - Campo Botto;CAMPO BOTTO;San Cristobal;Santa Fe;;;;;;;;;;;;;;;;
12063;Escuela Nro 1039 Alfredo Eduardo Cernadas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial Nro 74 S -Paraje La Christiani;LA CHRISTIANI;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12064;Escuela Nro 6126 Rio Parana;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Urbana Portugalete;PORTUGALETE;San Cristobal;Santa Fe;;;;;;;;;;;;;;;;
12065;C.E.R. Nro 63;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Estancia Los Pinos;ESTANCIA LOS PINOS;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12066;C.E.R. Nro 202 Jose Pedroni;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Estancia La Dora;ESTANCIA LA DORA;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12067;C.E.R. Nro 223 Merceditas De San Martin;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia San Rafael;SAN RAFAEL;San Cristobal;Santa Fe;;;;;;;;;;;;;;;;
12068;C.E.R. Nro 590;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Dalmasso;CAMPO DALMASSO;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12069;C.E.R. Nro 363 General Manuel Belgrano;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo La Aurora;CAMPO LA AURORA;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12070;C.E.R. Nro 426 Presbitero Juan A. Bauza;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraje La Esperanza;LA ESPERANZA;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12071;Nucleo I - Jardin De Infantes Nucleado Nro 187 Juan Enrique Pestalozzi;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraje El Condor;CONDOR;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12072;Escuela Nro 6196 Maria Menvielle De Uranga;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Mitre 61;URANGA;Rosario;Santa Fe;;;;;;;;;;;;;;;;
12073;C.E.R. Nro 604;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial 1-Paraje El Progreso Paraje El Progreso;EL PROGRESO;San Javier;Santa Fe;;;;;;;;;;;;;;;;
12074;C.E.R. Nro 578;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraje El Ceibo-Ruta Provincial 1;EL CEIBO;San Javier;Santa Fe;;;;;;;;;;;;;;;;
12075;C.E.R. Nro 452 Capitan Justo G. Bermudez;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Santa Anita - Las Petacas -;SANTA ANITA;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12076;Nucleo I - Jardin De Infantes Nucleado Nro 207;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural - Campo Coppari - Col.Candelaria Funciona En C.E.R. Nro 318;COLONIA CANDELARIA;Caseros;Santa Fe;;;;;;;;;;;;;;;;
12077;C.E.R. Nro 312 Juan Bautista Alberdi;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo La Germania;CAMPO LA GERMANIA;Iriondo;Santa Fe;;;;;;;;;;;;;;;;
12078;C.E.R. Nro 65 Brigadier Estanislao Lopez;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo El Injerto;CAMPO EL INJERTO;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12079;C.E.R. Nro 233 Martin Miguel De Guemes;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural - Campo Ceballos;CAMPO CEBALLOS;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12080;C.E.R. Nro 303 Antonio Arenales;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Arroyo Del Monje;ARROYO DEL MONJE;San Jerónimo;Santa Fe;;;;;;;;;;;;;;;;
12081;C.E.R. Nro 265 Brigadier General Juan Gregorio Las Heras;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraje Las Higueritas;LAS HIGUERITAS;Las Colonias;Santa Fe;;;;;;;;;;;;;;;;
12082;Escuela Nro 946 Carlos Maria De Alvear;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Provincial De Tierra Nro10;ITUZAINGO;Las Colonias;Santa Fe;;;;;;;;;;;;;;;;
12083;Escuela Nro 1177 Armada Argentina;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Isla Las Palmas;ISLA LAS PALMAS;San Javier;Santa Fe;;;;;;;;;;;;;;;;
12084;Escuela Nro 6270 Juan De Garay;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural - Campo Brusa;CAMPO BRUSA;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12085;Escuela Nro 1134 Almafuerte;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural Colonia Algarrobal;COLONIA ALGARROBAL;San Cristóbal;Santa Fe;;;;;;;;;;;;;;;;
12086;Nucleo Ii - Jardin De Infantes Nucleado Nro 169;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Langarica - N. Inicial Esc. Nro 1345;CAMPO LANGARICA;General Lopez;Santa Fe;;;;;;;;;;;;;;;;
12087;Nucleo Iii - Jardin De Infantes Nucleado Nro 169;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo La Fortuna;CAMPO LA FORTUNA;General Lopez;Santa Fe;;;;;;;;;;;;;;;;
12088;Nucleo I - Jardin De Infantes Nucleado Nro 243 Adelaida M. De Martinez;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural Zona Rural - Campo La Ramada- Funciona En C.E.R. Nro 9;LA RAMADA;Las Colonias;Santa Fe;;;;;;;;;;;;;;;;
12089;Nucleo I - Jardin De Infantes Nucleado Nro 252 Graciela Moiso;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Nicoli;CAMPO NICOLI;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12090;Nucleo Ii - Jardin De Infantes Nucleado Nro 252 Graciela Moiso;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia La Francia;COLONIA LA FRANCIA;San Martin;Santa Fe;;;;;;;;;;;;;;;;
12091;C.E.R. Nro 568;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia La Angelita;COLONIA LA ANGELITA;La Capital;Santa Fe;;;;;;;;;;;;;;;;
12092;Nucleo Iii - Jardin De Infantes Nucleado Nro 268;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Plaza Castellanos Plaza Castellanos-Zona Rural;CASTELLANO PLAZA;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12093;Nucleo V - Jardin De Infantes Nucleado Nro 268;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural - Campo Borgarello;CAMPO BORGARELLO;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12094;Nucleo Iii - Jardin De Infantes Nucleado Nro 267 Juan Florentino Basso;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Giacossa;CAMPO GIACOSSA;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12095;Nucleo V - Jardin De Infantes Nucleado Nro 267 Juan Florentino Basso;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural Colonia Galisteo;GALISTEO;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12096;Jardin De Infantes Nucleado Nro 167 Martha Alcira Salotti;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;José Uriburu 315;COLONIA ALDAO;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12097;Nucleo I - Jardin De Infantes Nucleado Nro 167;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Zona Rural Ruta Pcial 81 S;COLONIA BIGAND;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12098;Nucleo Iii - Jardin De Infantes Nucleado Nro 167;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Estacion Casablanca Ruta 81 S - Zona Rural;COLONIA FIDELA;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12099;Nucleo Iv - Jardin De Infantes Nucleado Nro 167;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Hugentobler;HUGENTOBLER;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12100;Nucleo Iii - Jardin De Infantes Nucleado Nro 274 María Montessori;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Ruta Nro 62 S Ripiado - Campo Ambroggio - N. Inicial Esc. Nro 626;CAMPO AMBROGGIO;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12101;Nucleo Iv - Jardin De Infantes Nucleado Nro 274 María Montessori;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Camino Rural Campo Ristorto;CAMPO RISTORTO;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12102;Nucleo V - Jardin De Infantes Nucleado Nro 274 María Montessori;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Pasaje La Manuelita;COLONIA LA MANUELITA;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12103;Nucleo I - Jardin De Infantes Nucleado Nro 275;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia La Nueva Centro-Escuela Nro 331;COLONIA NUEVA CENTRO;Las Colonias;Santa Fe;;;;;;;;;;;;;;;;
12104;Nucleo Iv - Jardin De Infantes Nucleado Nro 275;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Humboldt Chico - C.E.R. Nro 540;HUMBOLDT CHICO;Las Colonias;Santa Fe;;;;;;;;;;;;;;;;
12105;Nucleo Ii - Jardin De Infantes Nucleado Nro 282;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Funciona En Esc. Nro 1328;CAMPO UBINO;Iriondo;Santa Fe;;;;;;;;;;;;;;;;
12106;Jardin De Infantes Nro 308 Javier Villafañe;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Doctor Borgna 278 Sobre La Base De Las Secciones De N.Inic. De Esc.404;CLUCELLAS;Castellanos;Santa Fe;;;;;;;;;;;;;;;;
12107;Nucleo I - Jardin De Infantes Nucleado Nro 342;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Campo Cullak Colonia Falucho;CAMPO CULLAK;General Lopez;Santa Fe;;;;;;;;;;;;;;;;
12108;Nucleo Ii - Jardin De Infantes Nucleado Nro 342;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Colonia Falucho;COLONIA FALUCHO;General Lopez;Santa Fe;;;;;;;;;;;;;;;;
12109;Escuela Nro 1406;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Paraje Vicente Echeverria;VICENTE A. ECHEVERRIA;San Lorenzo;Santa Fe;;;;;;;;;;;;;;;;
12110;Jardin De Infantes Nº41 Abejitas;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Alejandro Seitz 283 Centro;SELVA;Rivadavia;Santiago Del Estero;;;;;;;;;;;;;;;;
12111;Escuela N° 1029 Aeronautica Argentina;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Calle Pública A 300Mts. De La Ruta 34 En El Km. 390;PALO NEGRO;Rivadavia;Santiago Del Estero;;;;;;;;;;;;;;;;
12112;Escuela Nº308 Maria C.Miranda;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;Nueva Ceres A 25Km.De Selva-Desde La Esc.A La Capital 360 Km.;NUEVA CERES;Rivadavia;Santiago Del Estero;;;;;;;;;;;;;;;;
12113;Escuela Nº649 Atahualpa Yupanqui;Infancias;Jardines Maternales y de Infantes;Ministerio de educación;La Victoria A 22Km Al N.E De Selva Y A 320 Kmde La Capital;LA VICTORIA;Rivadavia;Santiago Del Estero;;;;;;;;;;;;;;;;
